Model,PMID,QID,Type,Question,Human Answer,Model Answer,annotation_verdict,verdict,note
GPT-4o QSP,41056006,7,List,From what years were the sequenced samples obtained?,Not provided,2019–2020,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,41056006,9,List,Which HIV genes were reported to have been sequenced?,CA,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,41057785,10,List,What method was used for sequencing?,Sanger (not stated),Not reported,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Sanger (not stated)'
GPT-4o QSP,41057785,11,List,What type of samples were sequenced?,Plasma (not stated),Not reported,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Plasma (not stated)'
GPT-4o QSP,41057785,16,List,Which drugs were received by individuals in the study before sample sequencing?,"ABC, AZT, D4T, TDF, ETR, NVP, EFV, LPV, DRV/r, DTG","AZT, TDF, Efavirenz",ok,model error,
GPT-4o QSP,41088231,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,41088231,9,List,Which HIV genes were reported to have been sequenced?,Whole genome,"Pol, Env",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,41091504,8,Boolean,Were samples cloned prior to sequencing?,Yes (site-directed mutants),Not reported,wrong,annotation/convention,"wrong: computational paper (molecular dynamics and machine learning on published protease data); the PDF never mentions cloning, site-directed mutagenesis or sequencing, yet the annotation says 'Yes (site-directed mutants)'"
GPT-4o QSP,41091504,9,List,Which HIV genes were reported to have been sequenced?,PR,Not reported,ok,model error,
GPT-4o QSP,41093949,1,Boolean,Does the paper report HIV sequences from patient samples?,No (Published sequences only),Yes,ok,model error,
GPT-4o QSP,41093949,10,List,What method was used for sequencing?,Not stated,Sanger sequencing,ambiguous,annotation/convention,ambiguous: annotation hedges: 'Not stated'
GPT-4o QSP,41093949,11,List,What type of samples were sequenced?,None,PBMC,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,41093949,5,Number,How many individuals had samples obtained for HIV sequencing?,0,10605,ok,model error,
GPT-4o QSP,41093949,6,List,From which countries were the sequenced samples obtained?,Not applicable.,"China, United States",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,41093949,7,List,From what years were the sequenced samples obtained?,Not applicable.,1978–2023,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o QSP,41129268,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, 3TC, TDF, ABC, EFV, NVP, LPV/r, DTG",Not reported,ok,model error,
GPT-4o QSP,41129268,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o QSP,41129268,9,List,Which HIV genes were reported to have been sequenced?,"RT, PR, IN","NRTI, NNRTI, PI, INSTI",ok,model error,
GPT-4o QSP,41130593,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, CAI",Not reported,ok,model error,
GPT-4o QSP,41130593,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, TAF, FTC, LEN",Not reported,ok,model error,
GPT-4o QSP,41130593,5,Number,How many individuals had samples obtained for HIV sequencing?,64,55,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,41130593,8,Boolean,Were samples cloned prior to sequencing?,Yes (single genome),No,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o QSP,41140464,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o QSP,41140464,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o QSP,41140464,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",None,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o QSP,41140464,7,List,From what years were the sequenced samples obtained?,Not available (deposited 2015-2025),2015–2025,wrong,annotation/convention,wrong: PDF is a systematic review/meta-analysis; QSP rules say No/None
GPT-4o FT+QSP,21115794,9,List,Which HIV genes were reported to have been sequenced?,IN,Not reported,ok,model error,
GPT-4o FT+QSP,23749954,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o FT+QSP,24227862,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,24227862,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not applicable,NRTI,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,24227862,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not applicable,"TDF, zidovudine, lamivudine, efavirenz, dolutegravir",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,26246578,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,26311878,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ok,model error,
GPT-4o FT+QSP,26559830,8,Boolean,Were samples cloned prior to sequencing?,No,Yes,ok,model error,
GPT-4o FT+QSP,27009474,8,Boolean,Were samples cloned prior to sequencing?,Yes,No,ok,model error,
GPT-4o FT+QSP,28559249,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,28559249,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, PI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,28559249,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"zidovudine(AZT), lamivudine(3TC), ritonavir(R), lopinavir(L)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,28559249,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o FT+QSP,29373677,2,Boolean,Does the paper report in vitro drug susceptibility data?,Yes,No,ok,model error,
GPT-4o FT+QSP,29373677,7,List,From what years were the sequenced samples obtained?,2015,Not reported,ok,model error,
GPT-4o FT+QSP,30053052,5,Number,How many individuals had samples obtained for HIV sequencing?,51,24,ok,model error,
GPT-4o FT+QSP,31988104,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,31988104,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,14,Yes,unanswerable,annotation/convention,unanswerable: Boolean question annotated '14'
GPT-4o FT+QSP,32601157,1,Boolean,Does the paper report HIV sequences from patient samples?,No,Yes,ok,model error,
GPT-4o FT+QSP,32601157,10,List,What method was used for sequencing?,Not reported,NGS,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,33855437,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o FT+QSP,34516245,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT+QSP,34516245,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,34516245,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,NRTI,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,34516245,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TDF, FTC",ok,model error,
GPT-4o FT+QSP,34516245,9,List,Which HIV genes were reported to have been sequenced?,RT,"PR, IN",ok,model error,
GPT-4o FT+QSP,35730213,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,35730213,16,List,Which drugs were received by individuals in the study before sample sequencing?,"EFV, DTG, TDF, 3TC",Not reported,ok,model error,
GPT-4o FT+QSP,35913500,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
GPT-4o FT+QSP,35913500,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,Not applicable,ok,model error,
GPT-4o FT+QSP,35913500,5,Number,How many individuals had samples obtained for HIV sequencing?,51,0,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,35913500,7,List,From what years were the sequenced samples obtained?,2021-2022,Not applicable,ok,model error,
GPT-4o FT+QSP,35913500,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not applicable,ok,model error,
GPT-4o FT+QSP,35945163,5,Number,How many individuals had samples obtained for HIV sequencing?,6,35,ok,annotation/convention,R6 QID 5 denominator: both 35 and 6 are stated in the paper
GPT-4o FT+QSP,35945163,6,List,From which countries were the sequenced samples obtained?,"UK, USA, Belgium, Canada, Netherlands, Switzerland, Portugal, Italy, South Korea, Spain",Not reported,ok,model error,
GPT-4o FT+QSP,36415058,13,Boolean,Were the patients in the study in a clinical trial?,No,Yes,ok,model error,
GPT-4o FT+QSP,36454248,10,List,What method was used for sequencing?,Not reported,Sanger sequencing,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,36454248,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, AZT, D4T, ABC, DDI, FTC, EFV, LPV, DRV, NFV, RAL",Not reported,ok,model error,
GPT-4o FT+QSP,36519389,6,List,From which countries were the sequenced samples obtained?,Not reported,"South Africa, Zimbabwe, Malawi, Mozambique, other regions",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,36519389,7,List,From what years were the sequenced samples obtained?,Not reported,2022,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,36571282,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,
GPT-4o FT+QSP,36597160,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF,FTC,EVG",Not reported,ok,model error,
GPT-4o FT+QSP,36645792,7,List,From what years were the sequenced samples obtained?,Not reported,2020-2021,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,36659824,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,36659824,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o FT+QSP,36659824,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,36659824,16,List,Which drugs were received by individuals in the study before sample sequencing?,"BIC, FTC, TAF",None,ok,model error,
GPT-4o FT+QSP,36659824,5,Number,How many individuals had samples obtained for HIV sequencing?,14,112,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,36659824,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not reported,ok,model error,
GPT-4o FT+QSP,36660819,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT+QSP,36660819,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,36660819,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,36660819,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NNRTI, INSTI",Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,36660819,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,36660819,5,Number,How many individuals had samples obtained for HIV sequencing?,8 and 10,0,ambiguous,annotation/convention,ambiguous: annotation hedges: '8 and 10'
GPT-4o FT+QSP,36660819,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",Not applicable,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,36694270,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,convention,annotation/convention,convention: annotation defaults to Sanger; the PDF never mentions it
GPT-4o FT+QSP,36694270,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, NNRTI, INSTI",NRTIs,ok,model error,
GPT-4o FT+QSP,36694270,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, TDF, EFV, LPV/r, EVG, ABC, DTG",Not reported,ok,model error,
GPT-4o FT+QSP,36706364,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT+QSP,36706364,9,List,Which HIV genes were reported to have been sequenced?,"RT, IN",None,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,36738248,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,Yes,No,ok,model error,
GPT-4o FT+QSP,36738248,5,Number,How many individuals had samples obtained for HIV sequencing?,527,607,ok,annotation/convention,R6 QID 5 denominator: both 607 and 527 are stated in the paper
GPT-4o FT+QSP,36779485,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,
GPT-4o FT+QSP,36779485,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI",Not reported,ok,model error,
GPT-4o FT+QSP,36779485,16,List,Which drugs were received by individuals in the study before sample sequencing?,RPV,Not reported,ok,model error,
GPT-4o FT+QSP,36851704,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,36851704,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,36931676,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,
GPT-4o FT+QSP,36931676,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,36931676,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,Not reported,ok,model error,
GPT-4o FT+QSP,36931676,5,Number,How many individuals had samples obtained for HIV sequencing?,0,13029,ok,model error,
GPT-4o FT+QSP,36931676,7,List,From what years were the sequenced samples obtained?,Not reported,2003-on going; 2022,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,36931676,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o FT+QSP,36967989,9,List,Which HIV genes were reported to have been sequenced?,PR,Not reported,ok,model error,
GPT-4o FT+QSP,37017009,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, ATV, EFV, NVP, 3TC, ABC, AZT, FTC, D4T, TDF",Not reported,ok,model error,
GPT-4o FT+QSP,37039023,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"PR, RT, IN, Env",ok,model error,
GPT-4o FT+QSP,37042390,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, PI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,37042390,16,List,Which drugs were received by individuals in the study before sample sequencing?,"RAL, DRV",Not reported,ok,model error,
GPT-4o FT+QSP,37071019,10,List,What method was used for sequencing?,Sanger sequencing,Not reported,ok,model error,
GPT-4o FT+QSP,37071019,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37071019,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37071019,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,INSTI,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37071019,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Dolutegravir (DTG), Bictegravir (BIC)",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37071019,9,List,Which HIV genes were reported to have been sequenced?,Not reported,IN,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37104815,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o FT+QSP,37104815,11,List,What type of samples were sequenced?,"Whole Blood, Semen","Plasma, Blood",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37104815,16,List,Which drugs were received by individuals in the study before sample sequencing?,"TDF, FTC, ABC, 3TC","TDF, FTC, TAF, ABC, Rilpivirine, RAL, DTG, LPV/r",ok,model error,
GPT-4o FT+QSP,37104815,6,List,From which countries were the sequenced samples obtained?,France,Not reported,ok,model error,
GPT-4o FT+QSP,37147875,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"INSTI, NRTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37147875,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"DTG, FTC, TDF, doravirine",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37272233,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37272233,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37340869,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT+QSP,37340869,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,37340869,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,Yes,No,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,37340869,16,List,Which drugs were received by individuals in the study before sample sequencing?,"CAB, RPV",Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,37340869,5,Number,How many individuals had samples obtained for HIV sequencing?,1651,Not reported,ok,model error,
GPT-4o FT+QSP,37340869,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,37358226,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37358226,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NNRTI, NRTI, INSTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37358226,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"EFV, NVP, ABC, ZDV, TDF, 3TC, DTG",ok,model error,
GPT-4o FT+QSP,37358226,6,List,From which countries were the sequenced samples obtained?,Not reported,Lesotho,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37376649,11,List,What type of samples were sequenced?,PBMC,Whole blood,ambiguous,annotation/convention,ambiguous: paper says whole blood was used for the GenoSure Archive assay; annotation says PBMC
GPT-4o FT+QSP,37376649,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, INSTI",Not reported,ok,model error,
GPT-4o FT+QSP,37376649,16,List,Which drugs were received by individuals in the study before sample sequencing?,"Lamivudine (3TC), Tenofovir (TAF), Dolutegravir (DTG)",Not reported,ok,model error,
GPT-4o FT+QSP,37439411,15,List,Which drug classes were received by individuals in the study before sample sequencing?,NNRTI,Not reported,ok,model error,
GPT-4o FT+QSP,37439411,7,List,From what years were the sequenced samples obtained?,2000-2020,Not reported,ok,model error,
GPT-4o FT+QSP,37498738,10,List,What method was used for sequencing?,"Sanger sequencing, Illumina sequencing",NGS,ok,model error,
GPT-4o FT+QSP,37498738,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,"TDF, 3TC, EFV, ATV, RDTG",ok,model error,
GPT-4o FT+QSP,37498738,9,List,Which HIV genes were reported to have been sequenced?,NFLG,"Gag, Pol, Env",ok,model error,
GPT-4o FT+QSP,37515095,11,List,What type of samples were sequenced?,Plasma,Not reported,ok,model error,
GPT-4o FT+QSP,37515095,16,List,Which drugs were received by individuals in the study before sample sequencing?,"3TC, ABC, AZT, D4T, DDI, FTC, TDF, ETR, EFV, NVP, RPV","FTC, TDF, EFV",ok,model error,
GPT-4o FT+QSP,37520425,15,List,Which drug classes were received by individuals in the study before sample sequencing?,INSTI,Not reported,ok,model error,
GPT-4o FT+QSP,37520425,16,List,Which drugs were received by individuals in the study before sample sequencing?,DTG,Not reported,ok,model error,
GPT-4o FT+QSP,37541705,1,Boolean,Does the paper report HIV sequences from patient samples?,Yes,No,ok,model error,
GPT-4o FT+QSP,37541705,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"PI, INSTI","NNRTIs, INSTIs",ok,model error,M2 cascade: the model's own QID 1 answer was wrong
GPT-4o FT+QSP,37541705,16,List,Which drugs were received by individuals in the study before sample sequencing?,"LPV, DTG, RAL, ABC, 3TC","Lopinavir/ritonavir, Dolutegravir, Raltegravir",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37541705,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37546367,15,List,Which drug classes were received by individuals in the study before sample sequencing?,"NRTI, NNRTI, PI",Not reported,ok,model error,
GPT-4o FT+QSP,37554471,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37554471,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37554471,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, NNRTI, PI, INSTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37554471,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Etravirine, dolutegravir, darunavir, ritonavir, emtricitabine, tenofovir alafenamide, trimethoprim, sulfamethoxazole",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37554471,5,Number,How many individuals had samples obtained for HIV sequencing?,1,0,ok,model error,
GPT-4o FT+QSP,37554471,9,List,Which HIV genes were reported to have been sequenced?,RT,Not reported,ok,model error,
GPT-4o FT+QSP,37574435,16,List,Which drugs were received by individuals in the study before sample sequencing?,"DTG, BIC, FTC, TAF",Not reported,ok,model error,
GPT-4o FT+QSP,37593123,11,List,What type of samples were sequenced?,Plasma,Not reported,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37593123,5,Number,How many individuals had samples obtained for HIV sequencing?,57902,67939,ok,model error,
GPT-4o FT+QSP,37593123,6,List,From which countries were the sequenced samples obtained?,China,Not reported,ok,model error,
GPT-4o FT+QSP,37626789,2,Boolean,Does the paper report in vitro drug susceptibility data?,No,Yes,ok,model error,
GPT-4o FT+QSP,37626789,5,Number,How many individuals had samples obtained for HIV sequencing?,551,554,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37632026,16,List,Which drugs were received by individuals in the study before sample sequencing?,"AZT, D4T, XTC, TDF, ATV, LPV, DRV",AZT; 3TC; FTC; TDF; ABC; EFV; NVP; ATV; LPV; DRV; RAL; DTG,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37649807,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37649807,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37649807,6,List,From which countries were the sequenced samples obtained?,Not reported,Kenya,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37649807,7,List,From what years were the sequenced samples obtained?,Not reported,2015–2021,ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37674678,3,Boolean,Were sequences from the paper made publicly available?,Yes,No,ambiguous,annotation/convention,"ambiguous: the quoted text is the journal's data-deposition policy statement, not evidence of an actual deposition"
GPT-4o FT+QSP,37701387,11,List,What type of samples were sequenced?,Not reported,Plasma,ok,model error,
GPT-4o FT+QSP,37701387,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"Bictegravir, Emtricitabine, Tenofovir Alafenamide",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37701387,5,Number,How many individuals had samples obtained for HIV sequencing?,0 or 30,30,ambiguous,annotation/convention,ambiguous: annotation hedges: '0 or 30'
GPT-4o FT+QSP,37755428,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37755428,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37755428,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NRTI, INSTI",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37755428,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"ZDV, TDF, 3TC, DTG",ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
GPT-4o FT+QSP,37775947,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37775947,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37775947,15,List,Which drug classes were received by individuals in the study before sample sequencing?,Not reported,"NNRTI, PI, INSTI",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37775947,16,List,Which drugs were received by individuals in the study before sample sequencing?,Not reported,"TDF, FTC, EFV, ABC; 3TC, Rilpivirine, DRV/r, Lopinavir",ok,borderline,M1: annotation empty but the model's answer is in the PDF text
GPT-4o FT+QSP,37775947,6,List,From which countries were the sequenced samples obtained?,"South America, Africa, USA, Asia, Australia, Europe",Not reported,ok,model error,
GPT-4o FT+QSP,37817087,12,Boolean,Were any sequences obtained from individuals with virological failure on a treatment regimen?,No,Yes,ok,model error,
GPT-4o FT+QSP,37817087,14,Boolean,Does the paper report HIV sequences from individuals who had previously received ARV drugs?,No,Yes,ok,model error,
GPT-4o FT+QSP,37823653,9,List,Which HIV genes were reported to have been sequenced?,"NFLG, Envelope",Env,ambiguous,annotation/convention,ambiguous: all 5 models disagree with the annotation (incl. fine-tuned GPT-4o)
